plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,revision_date,date_added,gpc,image_url,image
4899,Herbs,Parsley,Regular/Curly,All Sizes,NA,NA,NA,Petroselinum crispum,NA,1999-12-31,1999-12-31,NA,NA,NA
4901,Herbs,Parsley,Italian/Continental/French,All Sizes,NA,NA,NA,Petroselinum crispum,NA,1999-12-31,1999-12-31,NA,NA,NA
4902,Herbs,Parsley,Retailer Assigned,All Sizes,NA,NA,NA,Petroselinum crispum,NA,1999-12-31,1999-12-31,NA,NA,NA
4903,Herbs,Rosemary,NA,All Sizes,NA,NA,NA,Rosemarinus officinalis,NA,1999-12-31,1999-12-31,NA,NA,NA
4904,Herbs,Sage,NA,All Sizes,NA,NA,NA,Salvia officinalis,NA,1999-12-31,1999-12-31,NA,NA,NA
4905,Herbs,Sorrel,NA,All Sizes,NA,NA,NA,Rumex spp.,NA,1999-12-31,1999-12-31,NA,NA,NA
4906,Herbs,Tarragon,NA,All Sizes,NA,NA,NA,Artemisia dracunculus,NA,1999-12-31,1999-12-31,NA,NA,NA
4907,Herbs,Thyme,NA,All Sizes,NA,NA,NA,Thymus vulgaris,NA,1999-12-31,1999-12-31,NA,NA,NA
4908,Herbs,Vanilla Bean,NA,All Sizes,NA,NA,NA,Vanilla planifolia,NA,2018-10-08,1999-12-31,NA,NA,NA
4909,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4910,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4911,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
4912,Herbs,Other Herbs,Retailer Assigned,All Sizes,NA,NA,NA,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
